production_order_id,process_step_id,assigned_machine_id,start_time,end_time,scheduled_duration_mins,status
74,1775,270,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
74,1776,257,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
74,1777,264,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
74,1778,265,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
74,1779,267,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
75,1780,259,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
75,1781,268,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
75,1782,270,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
76,1783,259,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
76,1784,257,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
76,1785,263,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
76,1786,267,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
78,1787,257,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
78,1788,257,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
78,1789,266,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
78,1790,264,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
79,1791,257,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
79,1792,265,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
79,1793,269,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
79,1794,266,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
80,1775,270,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
80,1776,257,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
80,1777,264,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
80,1778,265,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
80,1779,267,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
81,1771,259,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
81,1772,257,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
81,1773,257,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
81,1774,263,2025-06-19 16:57:14.859953,2025-06-19 16:57:14.859953,0,Scheduled
